Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP
2022,30,790,28.2,4.28,4860,37.46,33.63,4.28,8.16,5.33,1.63,0.13,1.07,4.09,0.51,0.17,3.06,8.40,.243,.312,.395,.706,13.28,0.70,0.42,0.08,0.25,0.10,24.41
2021,30,1373,28.4,4.53,4858,37.43,33.33,4.53,8.13,5.15,1.62,0.14,1.22,4.32,0.46,0.15,3.25,8.68,.244,.317,.411,.728,13.69,0.69,0.43,0.16,0.24,0.14,23.67
2020,30,618,28.0,4.65,1796,37.03,32.87,4.65,8.04,5.06,1.57,0.13,1.28,4.44,0.49,0.16,3.39,8.68,.245,.322,.418,.740,13.73,0.69,0.46,0.07,0.22,0.11,23.13
2019,30,1287,27.9,4.83,4858,38.39,34.30,4.83,8.65,5.34,1.76,0.16,1.39,4.63,0.47,0.17,3.27,8.81,.252,.323,.435,.758,14.92,0.71,0.41,0.16,0.24,0.16,24.34
2018,30,1271,28.1,4.45,4862,38.08,34.03,4.45,8.44,5.42,1.70,0.17,1.15,4.24,0.51,0.20,3.23,8.48,.248,.318,.409,.728,13.93,0.71,0.40,0.17,0.25,0.19,24.65
2017,30,1229,28.3,4.65,4860,38.13,34.07,4.65,8.69,5.54,1.73,0.16,1.26,4.44,0.52,0.19,3.26,8.25,.255,.324,.426,.750,14.51,0.78,0.36,0.19,0.24,0.20,24.80
2016,30,1247,28.4,4.48,4856,38.01,34.09,4.48,8.71,5.67,1.70,0.18,1.16,4.27,0.52,0.21,3.11,8.03,.255,.322,.417,.739,14.23,0.77,0.34,0.21,0.25,0.19,25.15
2015,30,1252,28.4,4.25,4858,37.80,34.07,4.25,8.67,5.77,1.70,0.19,1.01,4.04,0.52,0.22,2.90,7.71,.254,.317,.405,.721,13.78,0.77,0.33,0.25,0.25,0.20,25.60
2014,30,1212,28.5,4.07,4860,37.85,34.08,4.07,8.56,5.86,1.67,0.17,0.86,3.86,0.57,0.21,2.88,7.70,.251,.314,.386,.700,13.17,0.74,0.34,0.28,0.26,0.20,25.78
2013,30,1202,28.5,4.17,4862,38.02,34.16,4.17,8.66,5.85,1.69,0.16,0.96,3.96,0.55,0.21,3.01,7.55,.253,.318,.396,.714,13.54,0.77,0.32,0.28,0.25,0.21,25.90
2012,30,1185,28.5,4.32,4860,37.90,34.00,4.32,8.65,5.74,1.70,0.19,1.02,4.11,0.66,0.23,3.03,7.50,.255,.319,.405,.724,13.78,0.74,0.31,0.30,0.25,0.22,25.73
2011,30,1173,28.7,4.28,4858,38.13,34.11,4.28,8.70,5.85,1.73,0.18,0.94,4.08,0.67,0.26,3.09,7.10,.255,.321,.399,.720,13.61,0.73,0.32,0.34,0.26,0.25,26.33
2010,30,1157,28.9,4.38,4860,38.18,34.02,4.38,8.76,5.88,1.75,0.18,0.95,4.17,0.61,0.23,3.25,7.06,.257,.325,.403,.728,13.71,0.77,0.32,0.32,0.27,0.25,26.28
2009,30,1156,28.9,4.61,4860,38.49,34.13,4.61,8.96,5.92,1.80,0.20,1.04,4.40,0.61,0.23,3.42,6.91,.262,.333,.418,.751,14.26,0.78,0.33,0.34,0.28,0.24,26.46
2008,30,1188,28.8,4.65,4856,38.64,34.33,4.65,9.06,6.02,1.86,0.18,1.00,4.44,0.58,0.21,3.36,6.77,.264,.333,.416,.749,14.29,0.80,0.34,0.31,0.28,0.27,26.84
2007,30,1173,29.1,4.80,4862,38.80,34.51,4.80,9.25,6.15,1.89,0.19,1.02,4.58,0.60,0.21,3.31,6.62,.268,.336,.423,.758,14.59,0.82,0.36,0.32,0.30,0.27,27.17
2006,30,1134,29.2,4.86,4858,38.71,34.45,4.86,9.28,6.09,1.88,0.20,1.11,4.63,0.57,0.23,3.26,6.52,.269,.337,.432,.768,14.88,0.81,0.37,0.34,0.29,0.29,27.11
2005,30,1141,29.2,4.59,4862,38.32,34.21,4.59,9.05,6.02,1.82,0.18,1.03,4.37,0.53,0.22,3.13,6.30,.264,.330,.419,.749,14.33,0.80,0.37,0.33,0.27,0.25,27.15
2004,30,1136,29.3,4.81,4856,38.83,34.46,4.81,9.17,6.03,1.84,0.18,1.12,4.58,0.53,0.23,3.34,6.55,.266,.335,.428,.763,14.74,0.78,0.38,0.36,0.28,0.28,27.07
2003,30,1134,29.2,4.73,4860,38.57,34.31,4.73,9.07,5.99,1.82,0.19,1.07,4.50,0.53,0.23,3.27,6.34,.264,.333,.422,.755,14.48,0.79,0.38,0.33,0.27,0.27,27.17
2002,30,1101,29.2,4.62,4852,38.46,34.13,4.62,8.92,5.90,1.79,0.19,1.04,4.40,0.57,0.26,3.35,6.47,.261,.331,.417,.748,14.22,0.79,0.36,0.34,0.29,0.30,26.91
2001,30,1137,29.2,4.78,4858,38.49,34.22,4.78,9.03,5.91,1.81,0.19,1.12,4.55,0.64,0.29,3.25,6.67,.264,.332,.427,.759,14.60,0.75,0.39,0.33,0.29,0.28,26.72
2000,30,1132,29.1,5.14,4858,39.16,34.44,5.14,9.31,6.11,1.83,0.20,1.17,4.89,0.60,0.27,3.75,6.45,.270,.345,.437,.782,15.05,0.80,0.32,0.34,0.31,0.25,27.13
1999,30,1116,28.9,5.08,4856,39.06,34.42,5.08,9.33,6.20,1.80,0.19,1.14,4.83,0.70,0.31,3.68,6.41,.271,.345,.434,.778,14.93,0.79,0.33,0.33,0.30,0.23,27.17
1998,30,1097,28.9,4.79,4864,38.71,34.36,4.79,9.15,6.13,1.80,0.18,1.04,4.54,0.68,0.31,3.38,6.56,.266,.335,.420,.755,14.44,0.76,0.33,0.35,0.29,0.22,27.05
1997,28,1051,28.9,4.77,4532,38.73,34.30,4.77,9.15,6.17,1.77,0.19,1.02,4.52,0.73,0.35,3.46,6.61,.267,.337,.419,.756,14.38,0.76,0.32,0.35,0.31,0.26,26.98
1996,28,905,28.8,5.04,4534,39.10,34.58,5.04,9.33,6.29,1.76,0.19,1.09,4.76,0.71,0.30,3.55,6.46,.270,.340,.427,.767,14.76,0.80,0.31,0.34,0.31,0.30,27.34
1995,28,901,28.6,4.85,4034,38.85,34.35,4.85,9.17,6.24,1.72,0.20,1.01,4.57,0.73,0.31,3.53,6.30,.267,.338,.417,.755,14.33,0.78,0.30,0.37,0.29,0.27,27.33
1994,28,782,28.7,4.92,3200,38.90,34.46,4.92,9.29,6.25,1.79,0.22,1.03,4.64,0.71,0.32,3.48,6.18,.270,.339,.424,.763,14.62,0.76,0.27,0.38,0.31,0.32,27.56
